"
          Porunga [ECCC]        ","
$41.00        ","
          559 Own
        ","
          519 Want
        ",#553Released 2019Excl. to Emerald City Comic Con 
"
          Porunga [Spring Convention]        ","
$18.00        ","
          4872 Own
        ","
          385 Want
        ",#553Released 2019Excl. to Hot Topic (ECCC) 
"
          Raditz        ","
$7.00        ","
          2158 Own
        ","
          282 Want
        ",#616Released 2019 
"
          Shenron        ","
$23.00        ","
          13391 Own
        ","
          3511 Want
        ",#265Released 2017Excl. to Galactic Toys 
"
          Shenron (Golden)        ","
$20.00        ","
          11919 Own
        ","
          1463 Want
        ",#265Released 2017Excl. to Hot Topic 
"
          Shenron (Jade)        ","
$20.00        ","
          2899 Own
        ","
          292 Want
        ",#265Released 2019Excl. to Hot Topic and Cosmic Comics 
"
          Son Goku        ","
$11.00        ","
          5748 Own
        ","
          636 Want
        ",#517Released 2018Excl. to GameStop Funko Insider Club 
"
          SSGSS Goku (Kamehameha)        ","
$17.00        ","
          3886 Own
        ","
          442 Want
        ",#563Released 2019Excl. to Chalice Collectibles 
"
          SSGSS Vegito (Metallic)        ","
$16.00        ","
          9338 Own
        ","
          805 Want
        ",#515Released 2018Excl. to Hot Topic 
"
          Super Saiyan 2 Gohan        ","
$20.00        ","
          8836 Own
        ","
          1201 Want
        ",#518Released 2018Excl. to GameStop 
"
          Super Saiyan 2 Vegeta        ","
N/D        ","
          98 Own
        ","
          148 Want
        ",#709Released 2019Excl. to Previews 
"
          Super Saiyan 2 Vegeta (Glow in the Dark)        ","
N/D        ","
          37 Own
        ","
          164 Want
        ",#709Released 2019Excl. to Previews 
"
          Super Saiyan 3 Goku        ","
$19.00        ","
          7554 Own
        ","
          1141 Want
        ",#492Released 2018Excl. to  GameStop 
"
          Super Saiyan Broly [SDCC]        ","
$65.00        ","
          1190 Own
        ","
          935 Want
        ",#402Released 2018Excl. to San Diego Comic Con 
"
          Super Saiyan Broly [Summer Convention]        ","
$23.00        ","
          9530 Own
        ","
          1010 Want
        ",#402Released 2018Excl. to Hot Topic (SDCC) 
"
          Super Saiyan Future Trunks        ","
$12.00        ","
          10799 Own
        ","
          1593 Want
        ",#318Released 2018Excl. to Hot Topic 
"
          Super Saiyan God Goku        ","
$70.00        ","
          11777 Own
        ","
          5333 Want
        ",#24Released 2014Excl. to FUNimation 
"
          Super Saiyan God Super Saiyan Goku        ","
$19.00        ","
          20518 Own
        ","
          3059 Want
        ",#121Released 2016Excl. to Hot Topic 
"
          Super Saiyan God Super Saiyan Vegeta        ","
$39.00        ","
          13773 Own
        ","
          3256 Want
        ",#156Released 2016Vaulted 
"
          Super Saiyan God Super Saiyan Vegeta (Metallic)        ","
$80.00        ","
          11013 Own
        ","
          2962 Want
        ",#156Released 2016Excl. to Gamestop 
"
          Super Saiyan Gohan        ","
$18.00        ","
          4214 Own
        ","
          1053 Want
        ",#509Released 2018Excl. to Galactic Toys 
"
          Super Saiyan Goku        ","
$8.00        ","
          24213 Own
        ","
          2194 Want
        ",#14Released 2014 
"
          Super Saiyan Goku (Glow in the Dark)        ","
$12.00        ","
          15179 Own
        ","
          2452 Want
        ",#14Released 2014Excl. to Entertainment Earth 
"
          Super Saiyan Goku (Metallic)        ","
$39.00        ","
          9523 Own
        ","
          2934 Want
        ",#14Released 2016Excl. to Loot Crate 
"
          Super Saiyan Goten        ","
$11.00        ","
          1694 Own
        ","
          187 Want
        ",#641Released 2019Excl. to Hot Topic 
"
          Super Saiyan Gotenks        ","
$18.00        ","
          2534 Own
        ","
          383 Want
        ",#622Released 2019Excl. to AAA Anime 
"
          Super Saiyan Rose Goku Black        ","
$20.00        ","
          14800 Own
        ","
          2355 Want
        ",#260Released 2017Excl. to Hot Topic 
"
          Super Saiyan Trunks        ","
$50.00        ","
          13974 Own
        ","
          3500 Want
        ",#155Released 2016Excl. to New York Comic Con 
"
          Super Saiyan Vegeta        ","
$17.00        ","
          12501 Own
        ","
          3397 Want
        ",#154Released 2016Excl. to AAA Anime 
"
          Super Saiyan Vegeta (Blue Chrome) [Fall Convention]        ","
$24.00        ","
          1627 Own
        ","
          607 Want
        ",#154Released 2018Excl. to Toy Tokyo (NYCC) 
"
          Super Saiyan Vegeta (Blue Chrome) [NYCC]        ","
$24.00        ","
          4007 Own
        ","
          650 Want
        ",#154Released 2018Excl. to New York Comic Con / Toy Tokyo 
"
          Super Saiyan Vegeta (Gold Chrome) [SDCC]        ","
$28.00        ","
          4850 Own
        ","
          1123 Want
        ",#154Released 2018Excl. to San Diego Comic Con / Toy Tokyo 
"
          Super Saiyan Vegeta (Gold Chrome) [Summer Convention]        ","
$22.00        ","
          3013 Own
        ","
          654 Want
        ",#154Released 2018Excl. to Toy Tokyo Website (SDCC) 
"
          Super Saiyan Vegeta (Red Chrome) [SDCC]        ","
$42.00        ","
          323 Own
        ","
          205 Want
        ",#154Released 2019Excl. to San Diego Comic Con 
"
          Super Saiyan Vegeta (Red Chrome) [Summer Convention]        ","
$13.00        ","
          4334 Own
        ","
          154 Want
        ",#154Released 2019Excl. to Hot Topic (SDCC) 
"
          Super Saiyan Vegito        ","
$15.00        ","
          6144 Own
        ","
          1203 Want
        ",#491Released 2018Excl. to AAA Anime 
"
          Tien and Chiaotzu        ","
$7.00        ","
          6042 Own
        ","
          779 Want
        ",#384Released 2018 
"
          Training Vegeta        ","
N/D        ","
          94 Own
        ","
          347 Want
        ",Due 2019-11-01 
"
          Trunks        ","
$9.00        ","
          15327 Own
        ","
          2166 Want
        ",#107Released 2016 
"
          Trunks (Sword)        ","
N/D        ","
          80 Own
        ","
          296 Want
        ",Due 2019-11-01 
"
          Vegeta        ","
$10.00        ","
          25860 Own
        ","
          2398 Want
        ",#10Released 2014 
"
          Vegeta (Black)        ","
$48.00        ","
          9850 Own
        ","
          3026 Want
        ",#157Released 2016Excl. to Gamestop 
"
          Vegeta (Chrome)        ","
$32.00        ","
          2052 Own
        ","
          253 Want
        ",#10Released 2019Excl. to Funimation 
"
          Vegeta (Final Flash) [Fall Convention]        ","
$21.00        ","
          2192 Own
        ","
          214 Want
        ",#669Released 2019Excl. to Hot Topic (NYCC) 
"
          Vegeta (Final Flash) [NYCC]        ","
$70.00        ","
          128 Own
        ","
          99 Want
        ",#669Released 2019Excl. to New York Comic Con 
"
          Vegeta (Metallic)         ","
$65.00        ","
          9490 Own
        ","
          3770 Want
        ",#10Released 2015Excl. to San Diego Comic Con 
"
          Vegeta (Windy)        ","
$7.00        ","
          2335 Own
        ","
          260 Want
        ",#614Released 2019 
"
          Videl        ","
$8.00        ","
          3248 Own
        ","
          513 Want
        ",#528Released 2019 
"
          Whis        ","
$7.00        ","
          9693 Own
        ","
          1033 Want
        ",#317Released 2017 
"
          Whis (Metallic)        ","
$115.00        ","
          2864 Own
        ","
          1515 Want
        ",#317Released 2018Excl. to San Diego Comic Con Funimation Booth 
"
          Yamcha & Puar        ","
$7.00        ","
          3984 Own
        ","
          562 Want
        ",#531Released 2019 
"
          Zamasu        ","
$6.00        ","
          7823 Own
        ","
          907 Want
        ",#316Released 2017 
"
          Zamasu (Glow In the Dark)        ","
$17.00        ","
          5278 Own
        ","
          1247 Want
        ",#316Released 2018Excl. to Walmart 
