15.9,12
15.9,7
15.9,15
15.9,28
15.9,6
15.9,17
16,5
16.1,10
16.1,16
16.1,15
16.2,25
16.2,11
16.3,10
16.3,25
16.3,22
16.4,11
16.4,6
16.4,11
16.5,14
16.6,13
16.7,10
16.7,10
16.7,12
16.7,10
16.8,7
16.8,8
16.8,10
16.8,13
16.8,6
16.9,17
16.9,6
16.9,16
17,9
17.1,9
17.1,5
17.1,7
17.1,13
17.1,9
17.2,36
17.2,8
17.2,29
17.2,8
17.2,40
17.2,31
17.3,8
17.4,12
17.4,5
17.4,12
17.5,16
17.6,38
17.6,8
17.6,15
17.6,19
17.6,24
17.6,25
17.7,30
17.7,13
17.8,9
17.8,9
17.8,16
17.8,12
17.8,9
17.8,7
17.8,4
18,14
18,9
18.1,17
18.1,9
18.2,6
18.2,11
18.2,26
18.2,22
18.2,17
18.3,11
18.3,9
18.3,16
18.4,4
18.4,24
18.4,9
18.4,11
18.5,10
18.5,12
18.5,9
18.5,7
18.6,27
18.6,23
18.6,7
18.6,7
18.7,18
18.7,38
18.7,6
18.7,8
18.7,14
18.8,11
18.8,7
18.8,18
18.8,16
18.9,9
18.9,10
18.9,18
19,10
19,14
19,65
19,23
19.1,10
19.1,17
19.1,9
19.1,12
19.1,12
19.2,16
19.2,8
19.2,34
19.2,19
19.2,18
19.3,11
19.4,36
19.4,6
19.4,16
19.5,13
19.5,18
19.6,7
19.6,55
19.6,6
19.6,70
19.6,26
19.7,6
19.7,75
19.7,8
19.7,7
19.7,13
19.7,36
19.8,13
19.8,9
19.8,20
19.8,4
19.9,12
19.9,25
19.9,10
20,13
20,35
20,39
20,15
20,8
20,29
20.1,12
20.1,21
20.2,22
20.2,12
20.2,4
20.3,18
20.3,7
20.3,22
20.3,27
20.4,16
20.4,9
20.5,15
20.5,39
20.5,15
20.5,14
20.5,10
20.5,22
20.6,5
20.6,9
20.6,7
20.7,55
20.7,8
20.8,18
20.8,13
20.9,7
21,11
21,10
21.1,17
21.1,7
21.1,8
21.1,8
21.2,16
21.2,8
21.2,10
21.3,14
21.3,8
21.3,8
21.3,21
21.3,35
21.3,10
21.4,12
21.4,21
21.4,9
21.4,55
21.4,25
21.5,15
21.5,5
21.6,7
21.6,10
21.6,8
21.7,13
21.7,6
21.7,11
21.7,20
21.7,8
21.7,44
21.8,60
21.8,10
21.8,18
21.8,21
21.9,29
22,15
22,15
22,22
22,15
22,17
22,31
22,8
22.1,12
22.1,8
22.2,5
22.2,11
22.3,22
22.3,13
22.3,2
22.3,6
22.3,8
22.4,11
22.4,4
22.5,42
22.5,15
22.6,11
22.6,25
22.6,9
22.6,10
22.6,5
22.7,12
22.7,15
22.7,23
22.7,12
22.8,11
22.9,22
22.9,6
22.9,17
23,12
23,21
23,13
23.1,35
23.1,13
23.2,13
23.2,12
23.3,18
23.3,23
23.4,29
23.5,7
23.5,22
23.6,9
23.6,6
23.6,13
23.7,13
23.8,7
23.8,38
23.9,8
24,12
24,14
24,12
24,12
24.1,8
24.1,22
24.1,10
24.1,7
24.1,14
24.2,28
24.2,10
24.3,8
24.3,23
24.3,3
24.4,20
24.4,23
24.4,8
24.5,12
24.6,15
24.6,9
24.6,33
24.6,13
24.7,12
24.8,10
24.8,6
24.9,19
24.9,23
24.9,19
25,9
25,19
25.1,18
25.1,55
25.1,20
25.1,8
25.1,3
25.2,9
25.2,32
25.2,11
25.3,17
25.4,5
25.5,30
25.6,6
25.7,15
25.7,11
25.7,10
25.8,13
25.8,10
25.8,11
25.9,7
25.9,13
25.9,18
25.9,11
25.9,10
25.9,47
26,47
26,9
26,6
26.1,26
26.2,14
26.3,9
26.3,11
26.3,11
26.3,16
26.4,18
26.4,12
26.5,8
26.5,11
26.5,18
26.5,14
26.6,11
26.6,13
26.6,21
26.7,8
26.7,26
26.7,18
26.7,33
26.7,10
26.8,20
26.9,31
27,22
27.1,16
27.2,39
27.2,15
27.2,12
27.3,75
27.3,30
27.3,16
27.3,7
27.3,7
27.3,80
27.4,6
27.4,41
27.4,10
27.6,9
27.7,11
27.7,70
27.8,11
27.8,16
27.8,10
27.9,7
27.9,7
28,45
28,7
28,15
28,60
28.1,9
28.1,13
28.2,17
28.2,9
28.2,19
28.3,22
28.4,8
28.4,12
28.6,22
28.6,16
28.7,13
28.7,17
28.7,10
28.8,22
28.9,18
28.9,5
29,10
29.1,25
29.1,6
29.2,14
29.2,5
29.2,5
29.3,24
29.3,7
29.3,12
29.3,2
29.4,28
29.4,70
29.5,10
29.6,14
29.6,6
29.6,25
29.7,20
29.7,6
29.9,6
30,9
30,65
30.1,9
30.2,25
30.5,27
30.6,9
30.6,12
30.7,11
30.7,23
30.7,9
30.8,13
30.8,36
30.8,43
30.9,19
30.9,8
30.9,12
31,5
31,10
31.1,6
31.1,19
31.1,10
31.2,47
31.3,5
31.3,11
31.3,8
31.4,8
31.5,18
31.6,21
31.6,15
31.7,20
31.8,13
31.9,40
32,60
32.1,14
32.1,29
32.3,24
32.3,12
32.8,28
32.8,14
32.8,8
32.9,34
33.1,11
33.1,10
33.1,15
33.2,27
33.4,28
33.6,10
33.6,18
33.6,17
33.7,23
33.9,21
33.9,7
33.9,21
34,11
34,8
34,12
34.1,14
34.1,10
34.1,17
34.3,34
34.4,8
34.5,40
34.6,12
34.8,18
35.1,17
35.1,25
35.2,8
35.2,14
35.3,9
35.3,4
35.4,15
35.4,12
35.5,21
35.5,16
35.7,20
35.7,75
35.7,25
35.8,14
35.8,27
36,22
36.2,40
36.3,21
36.3,5
36.4,11
36.4,8
36.4,19
36.5,11
36.5,9
36.8,16
36.9,21
36.9,16
36.9,5
36.9,11
36.9,8
37,10
37,13
37,10
37,14
37.1,18
37.2,19
37.3,17
